Epoch,Loss
1,0.06980010792394788
2,0.04162091212902243
3,0.033867027029353354
4,0.028280245381209598
5,0.028400002850643754
6,0.027206062540408155
7,0.023590953268160093
8,0.024904254381746524
9,0.020889626713910852
10,0.021720733129197825
11,0.022543888805235793
12,0.021031959854366216
13,0.020150664909133118
14,0.020389493205406672
15,0.019240047535239908
16,0.018141768681064773
17,0.018278374038712596
18,0.017759607280725523
19,0.019212130626300145
20,0.01679968890998279
21,0.015614544842306807
