Dataset,Epoche,Margin,LR,Loss,mAP,MRR,Precision@1,Precision@5,Precision@10,Recall@50,Recall@100,Recall@200,Queries_Total,Queries_Used
LogoDet-3K,11,06,000002,0.11597108974764793,0.557475909656167,0.9374058800285106,0.9233333333333333,0.8299999999999998,0.7546666666666669,0.5170330980084656,0.6177476639259122,0.6889853910501318,300,300
FlickrLogos-32,11,06,000002,,0.7238677651874702,0.9691558441558441,0.96875,0.925,0.8968750000000001,0.5438744973979208,0.7426337382779198,0.8537004475703326,32,32
LogoDet-3K,12,06,000002,0.11557443361241415,0.5539821606490316,0.9307148512381004,0.92,0.8166666666666669,0.748,0.5110782014334899,0.6117395676355692,0.6917819736736374,300,300
FlickrLogos-32,12,06,000002,,0.7166617390836767,0.9535984848484849,0.9375,0.9,0.8781249999999999,0.544813595863394,0.7349477834612106,0.8455549339300936,32,32
LogoDet-3K,13,06,000002,0.11439240606038106,0.5526128724791287,0.9297496317702654,0.9166666666666666,0.8146666666666668,0.7473333333333336,0.5094053567901917,0.616772503876008,0.6942722644136897,300,300
FlickrLogos-32,13,06,000002,,0.7125231476903358,0.9536458333333333,0.9375,0.9187500000000001,0.8812499999999999,0.5392589283442123,0.7289202365728898,0.8414122442455244,32,32
LogoDet-3K,14,06,000002,0.11501201269402339,0.5493223440183936,0.9311044444368012,0.9233333333333333,0.8113333333333335,0.7496666666666669,0.5099066520549922,0.6157918446870306,0.6947608750792783,300,300
FlickrLogos-32,14,06,000002,,0.7010004408066864,0.943655303030303,0.9375,0.875,0.865625,0.5320391926238374,0.7198822463768116,0.8291773231031542,32,32
LogoDet-3K,15,06,000002,0.11437214390185861,0.5529590261509877,0.9324683990988473,0.92,0.8040000000000003,0.7453333333333337,0.5131242938617689,0.6170890119933584,0.6958553392481945,300,300
FlickrLogos-32,15,06,000002,,0.6975174304455964,0.9692307692307692,0.96875,0.8937499999999999,0.8656249999999999,0.5293551026835135,0.7172114769820971,0.8360107630008528,32,32
