Dataset,Epoche,Margin,LR,Loss,mAP,MRR,Precision@1,Precision@5,Precision@10,Recall@50,Recall@100,Recall@200,Queries_Total,Queries_Used
LogoDet-3K,1,06,000002,0.1879656697460291,0.4509971599899015,0.928586686953876,0.9133333333333333,0.7900000000000001,0.713,0.430909723044109,0.5119510497260951,0.5796092070807434,300,300
FlickrLogos-32,1,06,000002,,0.6823694750998651,0.9688430059523809,0.96875,0.925,0.9124999999999999,0.5342837045590463,0.7007606031543051,0.8013507033248084,32,32
LogoDet-3K,2,06,000002,0.15760960861519901,0.47520219326741586,0.9337740183695727,0.92,0.8013333333333331,0.7166666666666669,0.4516554200270841,0.5387265965029616,0.6045406220792423,300,300
FlickrLogos-32,2,06,000002,,0.7118833023908848,0.9480294825511432,0.9375,0.9375,0.903125,0.5425557633825756,0.7349477834612105,0.8260536551577156,32,32
LogoDet-3K,3,06,000002,0.14283537415628575,0.5008869534148139,0.9210284676148467,0.9,0.8039999999999998,0.7336666666666667,0.4723681355654943,0.5618586307387357,0.627040507717873,300,300
FlickrLogos-32,3,06,000002,,0.7214828434969879,0.9533991228070176,0.9375,0.9375,0.9062499999999999,0.5502950003817232,0.7476356031543052,0.8387281543052006,32,32
LogoDet-3K,4,06,000002,0.1355121193319713,0.5178932016869978,0.9309300376949494,0.9166666666666666,0.8126666666666668,0.741333333333334,0.4823229787876423,0.5737116404928067,0.6372002611136218,300,300
FlickrLogos-32,4,06,000002,,0.7264351538066892,0.9536057692307692,0.9375,0.9437500000000001,0.9031249999999998,0.553458629963991,0.7526174872122762,0.8595881287297528,32,32
LogoDet-3K,5,06,000002,0.13067674674948004,0.523141666051037,0.9363763398185184,0.9233333333333333,0.8119999999999999,0.7423333333333336,0.4928875069296981,0.5839624922752893,0.6456877185434614,300,300
FlickrLogos-32,5,06,000002,,0.7030455398589378,0.9483630952380953,0.9375,0.9249999999999999,0.884375,0.5321723980799327,0.7286205242966753,0.8423713235294118,32,32
LogoDet-3K,6,06,000002,0.12592483522912323,0.5353710921223053,0.9353170951467922,0.9233333333333333,0.829333333333333,0.7510000000000001,0.49952988101914647,0.5935842859251586,0.6593877427864421,300,300
FlickrLogos-32,6,06,000002,,0.7283616890345775,0.9483333333333333,0.9375,0.91875,0.8906250000000001,0.553012391686071,0.7494804987212275,0.8573236359761298,32,32
LogoDet-3K,7,06,000002,0.12240756137493579,0.5413242155455217,0.9381999621576059,0.93,0.8320000000000002,0.7573333333333334,0.5038762876377543,0.6006724311291449,0.6697368861292107,300,300
FlickrLogos-32,7,06,000002,,0.7272146082185086,0.9233278508771929,0.90625,0.9125,0.9,0.5489030033655254,0.7539961636828646,0.8636708759590793,32,32
LogoDet-3K,8,06,000002,0.12102653950306101,0.5456956474765378,0.94246963718825,0.9333333333333333,0.8300000000000002,0.7533333333333334,0.5074048503531015,0.6069565833422622,0.6748534658751217,300,300
FlickrLogos-32,8,06,000002,,0.7297629084790112,0.9430941358024691,0.9375,0.9,0.8937499999999999,0.5538649066050821,0.7458373294970163,0.8537071078431374,32,32
LogoDet-3K,9,06,000002,0.11898620571032738,0.5491473374098109,0.9344783718754908,0.92,0.8313333333333331,0.7586666666666666,0.5082422733998149,0.6104012071538624,0.6794058779530728,300,300
FlickrLogos-32,9,06,000002,,0.7361081887300307,0.9697265625,0.96875,0.8999999999999999,0.8875,0.5552302625300607,0.7521645886615518,0.856870737425405,32,32
LogoDet-3K,10,06,000002,0.11810245800990134,0.5497161943129247,0.9335180495416631,0.92,0.8260000000000001,0.7540000000000002,0.5093462552806299,0.6101681577420703,0.6838812813499153,300,300
FlickrLogos-32,10,06,000002,,0.7329466298080961,0.9695945945945946,0.96875,0.925,0.890625,0.5534253285999668,0.7580722506393862,0.8591352301790283,32,32
