Dataset,Epoche,Margin,LR,Loss,mAP,MRR,Precision@1,Precision@5,Precision@10,Recall@50,Recall@100,Recall@200,Queries_Total,Queries_Used
LogoDet-3K,1,06,0000025,0.17644006936672368,0.46081377454282535,0.9356538630485015,0.9233333333333333,0.7966666666666666,0.7126666666666666,0.43728309874034466,0.522671017456471,0.588875514911971,300,300
FlickrLogos-32,1,06,0000025,,0.6913247640181864,0.9688464506172839,0.96875,0.93125,0.89375,0.5338108251899072,0.7125426257459505,0.8118206521739132,32,32
LogoDet-3K,2,06,0000025,0.14982804920811058,0.4862559688660386,0.9308908843646708,0.9133333333333333,0.8039999999999998,0.724,0.4601817714906351,0.5488759068617961,0.6167772809018428,300,300
FlickrLogos-32,2,06,0000025,,0.7139613893775987,0.948064072327044,0.9375,0.91875,0.9031250000000001,0.5412436896400351,0.7394967497868714,0.826066975703325,32,32
LogoDet-3K,3,06,0000025,0.1366389358454441,0.5126866137913101,0.9229417307137341,0.91,0.8086666666666665,0.7376666666666666,0.48079557255067945,0.5701434620372468,0.6340961808667334,300,300
FlickrLogos-32,3,06,0000025,,0.72428365029699,0.9536830357142857,0.9375,0.9437500000000001,0.9093749999999998,0.5507412386596431,0.7499067561807331,0.8405397485080992,32,32
LogoDet-3K,4,06,0000025,0.13050642967410184,0.5293652027000301,0.9360183475158402,0.9233333333333333,0.8193333333333332,0.746333333333334,0.4922905040792662,0.5875846482275072,0.6475040130465352,300,300
FlickrLogos-32,4,06,0000025,,0.7373809287434876,0.9250578703703703,0.90625,0.9249999999999999,0.8999999999999999,0.5593529713962159,0.7653386082693948,0.8668345055413472,32,32
LogoDet-3K,5,06,0000025,0.12641217619778228,0.5326859326668791,0.9353482091262797,0.9233333333333333,0.8233333333333335,0.7503333333333337,0.5019973229389011,0.5926088227187527,0.6581902393207789,300,300
FlickrLogos-32,5,06,0000025,,0.7121669213616985,0.9274305555555555,0.90625,0.9249999999999999,0.8875,0.5380400984209388,0.7417545822676898,0.8505234974424553,32,32
LogoDet-3K,6,06,0000025,0.1217848770163872,0.5429694022258157,0.9397689209332166,0.93,0.8333333333333331,0.7543333333333334,0.5048639509885527,0.600443770745817,0.6724138019854801,300,300
FlickrLogos-32,6,06,0000025,,0.7423799777329821,0.92213326446281,0.875,0.9125,0.890625,0.5643415157269916,0.7617220801364023,0.8645700127877239,32,32
LogoDet-3K,7,06,0000025,0.11858564028613693,0.5449270514156628,0.9345789489356658,0.92,0.8273333333333334,0.7536666666666669,0.505928685425235,0.6069924094757267,0.6725232804237347,300,300
FlickrLogos-32,7,06,0000025,,0.7292392070408682,0.9222756410256411,0.875,0.8937499999999999,0.89375,0.5488896828199159,0.7517183503836317,0.8564244991474854,32,32
LogoDet-3K,8,06,0000025,0.11774865175684698,0.548637156921984,0.9284006232828919,0.9133333333333333,0.8226666666666667,0.7536666666666667,0.5100880345498527,0.6095907300019432,0.6815982447941712,300,300
FlickrLogos-32,8,06,0000025,,0.7298178098624873,0.9378765060240963,0.90625,0.8999999999999999,0.8875,0.5506679756587907,0.7430999573742542,0.846906969309463,32,32
LogoDet-3K,9,06,0000025,0.11654037338965421,0.5486869684036578,0.929040627724004,0.92,0.8206666666666668,0.7520000000000001,0.5075747489104111,0.6109236442450532,0.6883177052188714,300,300
FlickrLogos-32,9,06,0000025,,0.728573748073284,0.9537898936170213,0.9375,0.8937499999999999,0.88125,0.5520533124021834,0.7417412617220802,0.8505301577152602,32,32
LogoDet-3K,10,06,0000025,0.1158232465985729,0.5505188087044779,0.9281790630535026,0.9166666666666666,0.8160000000000003,0.7480000000000004,0.5102341782632808,0.6181684607972296,0.6963930257628674,300,300
FlickrLogos-32,10,06,0000025,,0.7226004334889736,0.9537037037037037,0.9375,0.925,0.890625,0.5470714283442124,0.7453577898550725,0.8446358162830351,32,32
LogoDet-3K,11,06,0000025,0.11423179971698037,0.5590191836139149,0.9305817590087822,0.92,0.8173333333333334,0.7496666666666668,0.5141291871913132,0.617076805469558,0.6952578214865215,300,300
FlickrLogos-32,11,06,0000025,,0.7075780093490746,0.9689922480620154,0.96875,0.90625,0.884375,0.5357156632120728,0.7281143435635123,0.8346720481670931,32,32
LogoDet-3K,12,06,0000025,0.11405138490075953,0.5563241727727088,0.9127473647304619,0.8933333333333333,0.8120000000000002,0.7480000000000004,0.5155051601861018,0.6177862756292062,0.6911472204759411,300,300
FlickrLogos-32,12,06,0000025,,0.6990577571076424,0.9535914179104478,0.9375,0.9,0.8749999999999999,0.5316062748915269,0.7153665814151747,0.8233096227621485,32,32
LogoDet-3K,13,06,0000025,0.11325765901706646,0.5551733779025014,0.9226029862431339,0.9133333333333333,0.8120000000000002,0.7456666666666668,0.5129765448199515,0.6177858565016522,0.6948893498268292,300,300
FlickrLogos-32,13,06,0000025,,0.6955704830983911,0.9249619720830352,0.90625,0.89375,0.8562500000000001,0.5292551985914417,0.7111373081841433,0.8176950127877239,32,32
LogoDet-3K,14,06,0000025,0.11355878176566346,0.5542599588251258,0.9221777591007904,0.91,0.8073333333333336,0.7423333333333336,0.5152565668680107,0.6152896228927696,0.6955948047443216,300,300
FlickrLogos-32,14,06,0000025,,0.6839355643632178,0.9093331939799331,0.875,0.8812500000000001,0.83125,0.5206434658548689,0.7070345801364023,0.8062593243819266,32,32
LogoDet-3K,15,06,0000025,0.11301044027624847,0.5536789762836167,0.9202880199095285,0.9033333333333333,0.8,0.7410000000000004,0.517305753195603,0.6179079234936778,0.694306984731913,300,300
FlickrLogos-32,15,06,0000025,,0.6816531645437249,0.9408672480620155,0.9375,0.8687500000000001,0.8312499999999999,0.5183856333740504,0.7065950021312873,0.8035818947144073,32,32
