Dataset,Loss,mAP,MRR,Precision@1,Precision@5,Precision@10,Recall@1,Recall@5,Recall@10
LogoDet-3K,0.0916766527719522,0.3662088418117006,0.8112485893143009,0.7666666666666667,0.6533333333333332,0.5688333333333333,0.7666666666666667,0.86,0.8816666666666667
FlickrLogos-32,,0.49134854229942504,0.8667534722222222,0.8125,0.8,0.76875,0.8125,0.9375,1.0
