Dataset,Loss,mAP,MRR,Precision@1,Precision@5,Precision@10,Recall@1,Recall@5,Recall@10
LogoDet-3K,0.08980705519702206,0.3771800328267544,0.8211560903502022,0.7816666666666666,0.6446666666666668,0.5730000000000002,0.7816666666666666,0.8633333333333333,0.8883333333333333
FlickrLogos-32,,0.6015045204453345,0.9256365740740741,0.90625,0.8562500000000001,0.821875,0.90625,0.96875,0.96875
