Dataset,Loss,mAP,MRR,Precision@1,Precision@5,Precision@10,Recall@1,Recall@5,Recall@10
LogoDet-3K,0.07139158519561362,0.5399229172428409,0.8932069057290962,0.8633333333333333,0.7846666666666667,0.7145000000000001,0.8633333333333333,0.93,0.94
FlickrLogos-32,,0.743991866843838,0.899604301948052,0.875,0.9,0.8906249999999999,0.875,0.90625,0.9375
