Dataset,Loss,mAP,MRR,Precision@1,Precision@5,Precision@10,Recall@1,Recall@5,Recall@10
LogoDet-3K,0.057993587820720456,0.5257515749732738,0.9031437627776192,0.875,0.7903333333333336,0.7201666666666667,0.875,0.9383333333333334,0.9566666666666667
FlickrLogos-32,,0.6870545016705214,0.8739583333333333,0.84375,0.8375,0.8375,0.84375,0.90625,0.9375
