Dataset,Loss,mAP,MRR,Precision@1,Precision@5,Precision@10,Recall@1,Recall@5,Recall@10
LogoDet-3K,0.07564982683424851,0.5192152308145693,0.8863393849217372,0.8616666666666667,0.7679999999999997,0.6981666666666667,0.8616666666666667,0.9133333333333333,0.9266666666666666
FlickrLogos-32,,0.7069510740996788,0.9244791666666666,0.875,0.9062500000000001,0.884375,0.875,0.96875,0.96875
