Epoch,LR,Train_Loss,Val_Loss,Dist_Pos,Dist_Neg,Duration_Min
1,3e-06,0.1948119492037103,0.13783837096958323,0.8008400366224092,1.3765314401794668,24.244435477256776
2,3e-06,0.12268241880707333,0.11484048829210558,0.7395553494093519,1.3857679344228402,24.89619983434677
3,3e-06,0.10419931642282271,0.10542640154931508,0.7113663703774127,1.3877479559617025,26.067991491158804
4,3e-06,0.09277166978807638,0.10044401232866834,0.6882572992779743,1.3791652068324474,25.74745463927587
5,3e-06,0.08427868049422879,0.09791182084330197,0.6837116375965177,1.3884836316565443,26.37379881540934
6,3e-06,0.07817974244920471,0.0935547011387017,0.6750976490106619,1.3905552954509341,29.228473381201425
7,3e-06,0.0720325167543742,0.09130546915919388,0.664925138726545,1.3898203455168625,30.330749726295473
8,3e-06,0.0675894123465544,0.08957487275873907,0.6630636785907307,1.3871383511700393,27.210823873678844
9,3e-06,0.06450178516697531,0.08824710237840012,0.66226994203425,1.390322802167286,27.27457353671392
10,3e-06,0.061045407545309224,0.08790755324008592,0.6596835682104374,1.3872886124241854,26.520890498161314
