Epoch,LR,Train_Loss,Val_Loss,Dist_Pos,Dist_Neg,Duration_Min
1,2.5e-05,0.0895106837116847,0.07128030244365259,0.6806780295085537,1.3309560399646907,7.35528861284256
2,2.5e-05,0.048753214944148394,0.0756621876372342,0.6437927490287974,1.2891141846198444,7.26590309937795
3,2.5e-05,0.0390555525365038,0.06912973382065339,0.6498691734186438,1.3261449032051618,7.206273178259532
4,2.5e-05,0.034747078781136746,0.06878096807649713,0.5310509981688603,1.1396178554656893,7.204599964618683
5,2.5e-05,0.030814739101362995,0.07144877075724387,0.6218143997266311,1.3337522624999054,7.204557379086812
6,2.5e-05,0.0314432231920156,0.06986644667281784,0.596448686811351,1.2893419566080553,7.199911733468373
7,2.5e-05,0.0316235905450854,0.06978613600306766,0.6086330505651097,1.2896897450898044,7.203065268198649
8,2.5e-05,0.03050160684803121,0.07134523600954229,0.6126232357450234,1.3060832513395206,7.206985572973887
9,2.5e-05,0.02711045232146197,0.07704009765726623,0.5768006726983905,1.2175382140070894,7.20760106643041
10,2.5e-05,0.029251013220945466,0.06955774613692653,0.556258176301801,1.2108510825061058,7.204135107994079
11,1e-05,0.017827805235617798,0.05721566990868896,0.5924890122787897,1.3239848715390345,7.215062542756399
12,1e-05,0.015116540192727068,0.05416705586945019,0.5958496243801228,1.3393399988033974,7.204159001509349
13,1e-05,0.013519539708954437,0.05918820667177143,0.6012625294022782,1.3241855654605599,7.204424814383189
14,1e-05,0.013502865901783003,0.05487202192576773,0.601755975637325,1.3271445701288622,7.19163947502772
15,1e-05,0.012324914860293489,0.057656444995580584,0.5562047530398813,1.2480972413868867,7.197431580225627
