Epoch,Train_Loss,Val_Loss,Dist_Pos,Dist_Neg,Duration_Min
1,0.16585452539226683,0.12325377155689646,0.8019842579670917,1.3867040529325314,21.223625620206196
2,0.10323427161235045,0.1049918026848178,0.7439436084565485,1.3893323329636096,21.585104203224184
3,0.08502552857678487,0.09790605021792859,0.7223144382354351,1.3917638494810705,21.912802922725678
4,0.07300918436952228,0.09186968321872128,0.7058265361108669,1.3909856011431505,21.73471500078837
5,0.0636306521561048,0.08585006700908396,0.6920005000750842,1.389729593050619,21.9816521803538
6,0.0566908829241528,0.08439312352353148,0.6874378109024657,1.3923412886111188,22.151411588986715
7,0.04983744685790989,0.08310392760247688,0.6777078502373008,1.3907199388348175,22.144902861118318
8,0.044681531733439944,0.07963077074953206,0.681118678953861,1.3947804744141574,22.32674878835678
9,0.04078165385577974,0.07969353552762752,0.6786724213032407,1.3920437756215551,22.125501398245493
10,0.03681402480902489,0.08000288369924062,0.6748694398291843,1.3895872696828286,22.192601199944814
