Epoch,Train_Loss,Val_Loss,Dist_Pos,Dist_Neg,Duration_Min
11,0.009505421407044369,0.057037389846117045,0.599411338856516,1.361941910991373,7.489919567108155
12,0.006622093997025548,0.057304316762990005,0.5856746274024941,1.3052434690238894,7.350233777364095
13,0.005417943456447704,0.059341166096185255,0.5881680127146632,1.3223200736119765,7.351039564609527
14,0.005497181515266199,0.06012617134205209,0.5779833047426948,1.2586922359096913,7.246887910366058
15,0.005589054964642682,0.05976639040226325,0.5715546068526054,1.2750011599341105,7.2213885148366295
16,0.005459310963105963,0.059843049366943096,0.581201047109541,1.3129777035047843,7.211101448535919
17,0.004791519518247306,0.06005129900394556,0.5258931171639946,1.1976780064346255,7.223971486091614
18,0.004729048789668879,0.05712634390984868,0.560601009705732,1.2710455762323483,7.215834323565165
19,0.005097375560912085,0.06037050490066781,0.5796607069151346,1.282515820144683,7.311107921600342
20,0.004772015990397666,0.06334193372706858,0.5788852425162182,1.2583915503450143,7.2281003077824915
