Epoch,Train_Loss,Val_Loss,Dist_Pos,Dist_Neg,Duration_Min
1,0.07000633215903126,0.08528553340496492,0.675166770240398,1.3390093884332392,7.962695988019307
2,0.04765239146699189,0.08175712462270451,0.612281844686202,1.2850492434288427,7.798301116625468
3,0.04572659477459508,0.09094700982559442,0.6745374070374461,1.34485207631336,7.79232071240743
4,0.04576437749743317,0.08711772926371332,0.6156650846748333,1.267763324627062,7.793108483155568
5,0.04299295327732883,0.09225070278614105,0.6438594408621027,1.3278224405234422,7.797281277179718
6,0.038334701769014955,0.08402412716123962,0.613429613229705,1.2701648447087142,7.7992055177688595
7,0.034651677374571414,0.07581154191852024,0.6319558485676118,1.3226704876112745,7.770267176628113
8,0.034875182270531824,0.07617076542344402,0.6040978014953737,1.291493900907718,7.780531807740529
9,0.031158888755163344,0.08272419561437597,0.6192748497232674,1.291961089624622,7.77150936126709
10,0.028336306319283938,0.08246848421295294,0.6215666472094088,1.2745613770756294,7.764243225256602
