Epoch,LR,Train_Loss,Val_Loss,Dist_Pos,Dist_Neg,Duration_Min
1,2.5e-05,0.18945869870109683,0.13874439783610923,0.6836671439945236,1.1664957415687947,10.907670879364014
2,2.5e-05,0.13939118393662545,0.09731300770600196,0.6272495665638022,1.2829652405524439,11.869626486301422
3,2.5e-05,0.18261591787452094,0.13591292077971465,0.622809481597686,1.1164540969586187,11.646520082155863
4,2.5e-05,0.1539371308156721,0.10606262561124413,0.5796226227814837,1.172281174696693,11.694807040691376
5,2.5e-05,0.16840008121391292,0.15147330154653083,0.4761707478368929,0.850418381681738,11.720226200421651
6,2.5e-05,0.148080598040847,0.11499619002403445,0.5694720263975536,1.1367205972819365,11.720684138933818
7,2.5e-05,0.1578958621238555,0.12169709611438619,0.6612139348835908,1.2097698514775712,11.593389403820037
8,2.5e-05,0.16042678106924238,0.12737485778142604,0.5757828472658645,1.1200951571150344,11.626811190446217
9,2.5e-05,0.17294681515445215,0.14368512906141348,0.6146519106141356,1.1149146755536397,11.595614326000213
10,2.5e-05,0.1414598863795462,0.13500800624430223,0.6005503048383912,1.1256841663704362,11.57103389898936
11,1e-05,0.17058556996987354,0.15704514638542436,0.47928422002136245,0.8753202153268711,11.63945175409317
12,1e-05,0.15014107912319669,0.15368962751037274,0.43514246158590614,0.8200658199399017,11.670362031459808
13,1e-05,0.16632212532600013,0.1523093446284215,0.5002828951953917,0.9250868993212086,11.6505228916804
14,1e-05,0.1376652850825208,0.14137994185407726,0.44831216162027315,0.8502134773158287,11.678035100301107
15,1e-05,0.15066050365291586,0.13959941851938967,0.47050843901874484,0.9194985822189686,11.605020785331726
