Epoch,Train_Loss,Val_Loss,Dist_Pos,Dist_Neg,Duration_Min
1,0.09497962801451129,0.10338362341120026,0.7077477950999077,1.3770546268909536,8.010211698214214
2,0.04402405047882656,0.10870883151024402,0.649936191008446,1.293859769435639,7.967710387706757
3,0.030673305125660372,0.10502206047698409,0.6538241184772329,1.3381545716143668,7.944290741284688
4,0.025881210728310698,0.11768968753130274,0.5541626696890973,1.137516805719822,7.965765221913656
5,0.026427544788331855,0.1062699877774263,0.6353302498447134,1.3362100296832145,7.954854472478231
6,0.02394183571055432,0.10669504510129782,0.6309116796927249,1.325932624999513,7.947576288382212
7,0.023510082519777434,0.10872162067953081,0.5481268261024292,1.175953105155458,7.942281456788381
8,0.022012593002846945,0.1002157754560764,0.6176469585600686,1.3240132047774944,7.955457162857056
9,0.019786049805849134,0.0959398795246206,0.600697815873997,1.3187941353371804,7.9488300283749895
10,0.020387422406502514,0.1080601212920304,0.6189807036772688,1.3077831197292247,7.941076465447744

